,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
0,4500.0,1427.313329,1.006,0.14869879524305557
1,5576.0,1265.639433,1.15,2.2310363732638887
2,4590.0,949.0685337,0.288,13.78676468736111
3,3765.0,676.1485316,0.469,2.4700480681249997
4,5255.0,351.8148781,0.81,5.001606142361111
5,6670.0,2080.720692,1.57,0.5807559295138889
6,5941.0,1720.658221,1.505,3.220083144097222
7,3863.0,493.5396328,0.186,11.282357197083334
8,5500.0,1653.616777,1.341,0.2680349395833333
9,3499.0,761.2055333,0.126,15.575868051562498
10,5690.0,2926.620204,0.54,12.9047524621875
11,5772.0,1647.1272,1.65,0.7290640617708333
12,6060.0,1458.653802,1.164,1.4927974305555556
13,5721.0,1377.055842,1.363,1.4263684354166668
14,3388.8,603.7965977,1.017,1.4816993305555555
15,5640.0,1395.253363,1.183,0.4644095860416667
16,3576.0,581.7903766,0.459,1.6000554313888888
17,6050.0,1392.811811,1.24,3.241573105208333
18,5750.0,1220.369535,1.07,1.388521685972222
19,5600.0,1217.772181,1.092,5.342961304166666
20,2988.0,402.6822528,0.104,3.028043945972222
21,5950.0,1551.88058,1.22,1.0479675354166667
22,4258.0,579.4404069,0.232,32.50038705659722
23,5690.0,1205.625221,0.99,0.8063907986111112
24,5134.0,678.8725091,0.292,19.888144345729163
25,6058.0,1472.750197,1.11,2.9185709097222223
26,5831.0,1090.33518,1.0,30.135660944444446
27,4974.0,1870.127122,1.348,5.158164710069445
28,5700.0,1719.396386,1.14,0.8954254527083333
29,6300.0,2035.43761,1.464,1.1818292791666667
30,5200.0,993.3346565,1.08,2.5204236993055558
31,6255.0,1404.501345,1.255,2.832254873263889
32,3542.0,1087.916652,0.111,5.5223687295833335
33,5872.0,1360.075736,1.076,1.0963157770833334
34,3950.0,700.4603159,0.419,3.5753708177083325
35,5838.0,1301.0943,1.065,4.34927612625
36,3207.0,493.7938449,0.306,5.916373420069444
37,6065.0,1437.542867,1.07,3.1915528020833333
38,5960.0,1538.865383,1.26,1.0980076354166666
39,5473.0,1171.113888,1.144,1.9351250883333335
40,5080.0,1449.65457,0.144,16.037255113611113
41,6400.0,2029.405563,1.4,0.351308909375
42,5899.0,1562.135253,1.323,0.29792874
43,5800.0,1277.334746,1.37,1.423208836458333
44,6030.0,1459.828977,1.22,0.9413802756944444
45,5313.0,1110.73845,1.47,1.49753448625
46,5808.0,1312.563321,1.182,7.357225395833334
47,5914.0,1707.224746,1.55,2.89417706875
48,5688.0,688.2547793,0.225,10.558066375000001
49,4803.0,857.1321053,0.953,13.955469621041667
50,5802.0,1904.599809,1.52,0.2663337120486111
51,5180.0,1310.657584,1.081,0.44663372340277785
